"Sample.ID","Lifestage","Gut.Region","Stage.Gut","Sex","Genus","Abundance"
"Amid39","adult","midgut","Adult midgut","female","Fimbriiglobus",0
"Amid39","adult","midgut","Adult midgut","female","Flavisolibacter",0
"Amid39","adult","midgut","Adult midgut","female","Flavobacterium",0
"Amid39","adult","midgut","Adult midgut","female","Flexilinea",0
"Amid39","adult","midgut","Adult midgut","female","Fodinicola",0
"Amid39","adult","midgut","Adult midgut","female","Frankia",0
"Amid39","adult","midgut","Adult midgut","female","Gaiella",0
"Amid39","adult","midgut","Adult midgut","female","GCA-900066225",0
"Amid39","adult","midgut","Adult midgut","female","Gemmata",0
"Amid39","adult","midgut","Adult midgut","female","Gemmatimonas",0
"Amid39","adult","midgut","Adult midgut","female","Geobacillus",0
"Amid39","adult","midgut","Adult midgut","female","Geobacter",0
"Amid39","adult","midgut","Adult midgut","female","Geodermatophilus",0
"Amid39","adult","midgut","Adult midgut","female","Gilliamella",20
"Amid39","adult","midgut","Adult midgut","female","Gluconobacter",34
"Amid39","adult","midgut","Adult midgut","female","Glutamicibacter",0
"Amid39","adult","midgut","Adult midgut","female","Gordonia",0
"Amid39","adult","midgut","Adult midgut","female","Haliangium",0
"Amid39","adult","midgut","Adult midgut","female","Herminiimonas",0
"Amid39","adult","midgut","Adult midgut","female","Hirschia",0
"Amid39","adult","midgut","Adult midgut","female","Hydrogenispora",0
"Amid39","adult","midgut","Adult midgut","female","Hydrogenoanaerobacterium",0
"Amid39","adult","midgut","Adult midgut","female","Hyphomicrobium",0
"Amid39","adult","midgut","Adult midgut","female","Iamia",0
"Amid39","adult","midgut","Adult midgut","female","Ilumatobacter",0
"Amid39","adult","midgut","Adult midgut","female","IMCC26207",0
"Amid39","adult","midgut","Adult midgut","female","Intestinimonas",0
"Amid39","adult","midgut","Adult midgut","female","Jatrophihabitans",0
"Amid39","adult","midgut","Adult midgut","female","JGI 0001001-H03",0
"Amid39","adult","midgut","Adult midgut","female","JGI-0000079-D21",0
"Amid39","adult","midgut","Adult midgut","female","Kaistia",0
"Amid39","adult","midgut","Adult midgut","female","Kineosporia",0
"Amid39","adult","midgut","Adult midgut","female","Kribbella",0
"Amid39","adult","midgut","Adult midgut","female","Ktedonobacter",0
"Amid39","adult","midgut","Adult midgut","female","Labrys",0
